method,budget_s,wall_s,n_evals,config,val_error,test_error
arenaml,15,15.067565599999398,3,LightGBM_aio_0808_r113_BAG_L1,0.07265342286467313,0.07358559885822691
AutoGluon (defaults),15,16.092098799999803,6,WeightedEnsemble_L2,0.0717780585837886,0.07198470007329472
arenaml,30,29.814002699999946,3,RandomForest_c1_BAG_L1,0.09087189612445634,0.09331325813682056
AutoGluon (defaults),30,31.044117200000073,6,WeightedEnsemble_L2,0.07137076293899614,0.07135348657895013
arenaml,60,61.213071400000445,4,LightGBM_aio_0808_r113_BAG_L1,0.07265342286467313,0.07358559885822691
AutoGluon (defaults),60,61.02765929999987,6,WeightedEnsemble_L2,0.07071610219386049,0.07081324403502809
arenaml,120,121.5836889000002,7,LightGBM_aio_0808_r73_BAG_L1,0.07016339619416834,0.07176609351226626
AutoGluon (defaults),120,121.05656830000044,6,WeightedEnsemble_L2,0.07060142672105485,0.0705336544167563
arenaml,240,235.24654520000058,21,LightGBM_aio_0808_r163_BAG_L1,0.06894248975681727,0.0706063218162557
AutoGluon (defaults),240,240.0153194000004,9,WeightedEnsemble_L2,0.06994676597591898,0.07053256080836756
arenaml,300,300.9906310999995,22,CatBoost_r52_BAG_L1,0.07014032373405055,0.07193232198731891
AutoGluon (defaults),300,294.82531259999996,12,WeightedEnsemble_L2,0.0693105587551428,0.07015054613076166
