step,config,perf_fitted,perf:APSFailure,perf:Amazon_employee_access,perf:Another-Dataset-on-used-Fiat-500,perf:Bank_Customer_Churn,perf:Bioresponse,perf:Diabetes130US,perf:E-CommereShippingData,perf:Fitness_Club,perf:Food_Delivery_Time,perf:GiveMeSomeCredit,perf:HR_Analytics_Job_Change_of_Data_Scientists,perf:Is-this-a-good-customer,perf:MIC,perf:Marketing_Campaign,perf:NATICUSdroid,perf:QSAR-TID-11,perf:QSAR_fish_toxicity,perf:SDSS17,perf:airfoil_self_noise,perf:anneal,perf:bank-marketing,perf:blood-transfusion-service-center,perf:churn,perf:coil2000_insurance_policies,perf:concrete_compressive_strength,perf:credit-g,perf:credit_card_clients_default,perf:customer_satisfaction_in_airline,perf:diabetes,perf:diamonds,perf:hazelnut-spread-contaminant-detection,perf:healthcare_insurance_expenses,perf:heloc,perf:hiva_agnostic,perf:houses,perf:in_vehicle_coupon_recommendation,perf:jm1,perf:kddcup09_appetency,perf:maternal_health_risk,perf:miami_housing,perf:online_shoppers_intention,perf:physiochemical_protein,perf:polish_companies_bankruptcy,perf:qsar-biodeg,perf:seismic-bumps,perf:splice,perf:students_dropout_and_academic_success,perf:superconductivity,perf:taiwanese_bankruptcy_prediction,perf:website_phishing,perf:wine_quality,cost_fitted,cost:APSFailure,cost:Amazon_employee_access,cost:Another-Dataset-on-used-Fiat-500,cost:Bank_Customer_Churn,cost:Bioresponse,cost:Diabetes130US,cost:E-CommereShippingData,cost:Fitness_Club,cost:Food_Delivery_Time,cost:GiveMeSomeCredit,cost:HR_Analytics_Job_Change_of_Data_Scientists,cost:Is-this-a-good-customer,cost:MIC,cost:Marketing_Campaign,cost:NATICUSdroid,cost:QSAR-TID-11,cost:QSAR_fish_toxicity,cost:SDSS17,cost:airfoil_self_noise,cost:anneal,cost:bank-marketing,cost:blood-transfusion-service-center,cost:churn,cost:coil2000_insurance_policies,cost:concrete_compressive_strength,cost:credit-g,cost:credit_card_clients_default,cost:customer_satisfaction_in_airline,cost:diabetes,cost:diamonds,cost:hazelnut-spread-contaminant-detection,cost:healthcare_insurance_expenses,cost:heloc,cost:hiva_agnostic,cost:houses,cost:in_vehicle_coupon_recommendation,cost:jm1,cost:kddcup09_appetency,cost:maternal_health_risk,cost:miami_housing,cost:online_shoppers_intention,cost:physiochemical_protein,cost:polish_companies_bankruptcy,cost:qsar-biodeg,cost:seismic-bumps,cost:splice,cost:students_dropout_and_academic_success,cost:superconductivity,cost:taiwanese_bankruptcy_prediction,cost:website_phishing,cost:wine_quality
1,ExtraTrees_c1_BAG_L1,False,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,False,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
2,ExtraTrees_r67_BAG_L1,True,0.0012042220359659074,0.07778364723073836,0.014650295284620562,0.00751977955075086,0.009919431988627344,0.026962284258828798,0.02132530092603703,0.005945224506608071,0.022401151623277948,0.0221770729671321,0.00810190964547495,0.02347953092347079,0.012513995439606797,0.008632947312960156,-0.0017526417642611358,0.019260760007050775,0.02260482721459372,0.026177631290091704,0.043762174670785976,0.0055316167101767365,0.003787074883609053,0.01514271945397371,0.006330678264760147,0.006998218293751839,0.04625669946314855,0.016067906082231295,0.010124604458513339,0.004247369452765654,0.012329433613024535,0.011510766365897209,0.0022053577696332107,0.022474556048778346,0.01654172079460833,0.041831611199277086,0.06100935998314522,0.015752973145511186,0.017321434270672363,0.012113167098866104,0.02083389934510962,0.013281988307845617,0.007469874417394507,0.027340161038638768,0.012301556578286714,0.004971870585857255,0.00044962289807839767,0.01169133349640442,0.021355469589732293,0.011743971032193167,0.005653962326912016,0.0008117206809962127,0.03284204143656679,True,0.0009232908240584277,-0.00423895719131529,-0.006549954655697781,-0.006042929943983318,-0.006534996939103703,0.0013315217723671906,-0.006163652497554895,-0.006361460597646938,-0.0013896104546717847,0.008493463713291387,-0.004778790818301401,-0.006540967891017888,-0.00682714198982987,-0.00658608883131649,-0.006095545037107251,0.033283106252000066,-0.006561038118204503,-0.003541815924346404,-0.006531041652753518,-0.006714311227661082,-0.0032384935620998418,-0.00652500503973709,-0.00603725826032769,-0.006203755708634188,-0.00658231340734179,-0.006486481411777824,-0.004310167620988812,-0.0014610775386634531,-0.006681984355050571,-0.0027910934864917207,-0.006579589723259425,-0.006599447391625947,-0.006556529719128325,-0.008878020711475214,-0.0017871386816308839,-0.006317160900078211,-0.0058367126376385435,0.0011494051302936225,-0.0065342094401264275,-0.004349852292032985,-0.006285016080249531,-0.0005856880915842841,-0.006872626684460796,-0.006576766589620043,-0.006237695448323577,-0.006355684400316991,-0.006614451981638668,0.008216799426482707,-0.005753709647701824,-0.006726497198953628,-0.007200066442362334
3,CatBoost_c1_BAG_L1,True,0.0009760379936605986,0.0686473043257479,0.017153792028620194,0.007446904189870528,0.011106637030565332,0.026181355289526347,0.024150581980231185,0.004341583744992942,0.023870627698640175,0.02022993264418061,0.009181753853848808,0.020869585367639974,0.01291896725094845,0.007363720433833206,-0.0022870093679060754,0.021619992207441492,0.02680844026626058,0.02165119617779522,0.040742676615655324,0.003944315240679749,0.0032791455897703096,0.013821229008545741,0.00650816371264377,0.004666217564093984,0.04213488127627708,0.0180084515280375,0.011648578846908637,0.0037182773091274804,0.013949574131181582,0.011704621338470871,0.00042412061036810117,0.02307942687424929,0.01844250966507036,0.048616782842194034,0.05692573280147824,0.01314667568108809,0.022350281941529587,0.006074904867736047,0.023624054235136208,0.01218224150539476,0.0065010505729952706,0.0307558612489666,0.0026700246016355942,0.006208771415841089,0.0002893038526058135,-0.0032920889441092364,0.023022487641703518,0.013472537128714913,0.00561228228331405,-6.411758030818812e-05,0.03794638209830856,True,0.0013699726206243172,-0.004166901884611685,-0.006767546045615989,-0.006250696930406322,-0.00645145054598467,0.0035767158418627465,-0.006370785514065398,-0.00659606890004237,-0.001150504326912775,0.008875407963575851,-0.0048560300922662865,-0.006777634308660555,0.004958124608267031,-0.006821419999781112,-0.006298968734306478,0.035949603342705944,-0.006791313360293762,-0.0020072977356253175,-0.006532097303662539,-0.004762706348233932,-0.0032277380456469168,-0.006771331150825903,-0.006231587462282367,-0.00640186708684089,-0.006653568098574301,-0.006708917625922807,-0.0044093693441686985,0.006293010497025274,-0.006933120224070176,-0.002426760286683253,-0.006776557055295283,-0.006846113892256604,-0.0067975697826318385,-0.008645270568994976,-0.0014808442598808777,-0.006017399127563031,-0.006038305946601078,0.002559942306409156,-0.00674786552785943,-0.004263921212415361,-0.0064622315605444534,8.78461433774825e-05,-0.00707531776501838,-0.0068060726336342595,-0.006461657475110588,-0.0021054664309415557,-0.006633627648872988,0.009819381723132231,-0.0058964714437334045,-0.006856443435751481,-0.007289890124111923
4,CatBoost_r141_BAG_L1,True,0.0011161670643402553,0.06274668741140164,0.014728970269455638,0.010907361494262422,0.009686712300448921,0.03141505782977057,0.02124401736237907,0.013658657862193991,0.0293496260201144,0.021918171717291685,0.011690778436590658,0.029613448225717917,0.007906099199373871,0.008133788250962165,-0.0001280694238164264,0.01159316416033149,0.02128069667749843,0.02319410504081147,0.025478722723463475,0.012423853409456488,0.013229934183824864,0.025569315184135105,0.006718893692420205,0.018961064579001815,0.03844592051079181,0.021882987078152394,0.014050357261768962,0.0022676739326870235,0.015897656371025325,0.006643187843105307,0.004205286226749115,0.022171425221398703,0.017151383359511354,0.040654541704084,0.042406672542987245,0.01230950675121567,0.013543773031753786,0.01661565349016559,0.020696465964871905,0.01390787051926177,0.009005150931466943,-0.002359724450150205,0.020175945437222946,0.004645993312505184,0.006517550745026456,0.02395002865210032,0.026973004300464225,0.0015179446526472984,0.005735986588248013,0.01309220402931846,0.021721615348925163,True,0.00018934686313162768,-2.0355870436449807e-05,-0.00014961946729032634,-0.0001397856742030851,-1.7235634507702144e-05,0.001168610962937311,-0.00013918402085963557,-0.00015444987240284102,9.236787795335138e-05,0.0002226785083150048,-6.928835792168599e-05,-0.00015662516572018597,0.006428250147881215,-0.00015680083810090158,-0.00014298639669257202,0.0015682670738106914,-0.00015530771527747693,0.00047811961590534256,-3.839029975971527e-05,0.0010360073652594536,-1.1814570871500482e-05,-0.00016147562088515688,-0.0001381561400482528,-0.0001357290698051555,-7.508637415059806e-05,-0.00014865830859454152,-7.846444092325388e-05,0.004208449755620147,-0.0001647878229593264,0.00016954132771286625,-0.0001424956451594603,-0.00016216851447250341,-0.00016008269367564956,8.57501777760608e-05,0.00014656200330598064,0.00012074903994049822,-0.00013803632444842688,0.0006792026118755865,-0.00014740468688931194,1.6237453384470718e-05,-0.00012779757583918956,0.0003483389608995547,-0.00014358866745171718,-0.00015340436671206864,-0.00014811755486164843,0.002298655109724163,-5.8974396785931146e-05,0.0008829257147958398,-0.00010516842051910322,-9.903212894214896e-05,-8.992628210982886e-05
5,LinearModel_r150_BAG_L1,True,0.0011442546056413148,0.07255078521305625,0.02008367152530452,0.0011561649063251897,0.0051411042128244565,0.04583559150707578,0.025808542158669893,0.0231586755838926,0.029321229330376383,0.027002756759697148,0.018518605099381177,0.04175912112610374,0.023222308808093513,0.014076279586701873,-0.0002442379070986692,-0.014594951519561333,0.0021342592566525737,0.024283867235923073,-0.02010286706490761,0.0021951016592385193,0.019862128474067278,0.03628290244778048,-0.012482631263268349,0.02717171751803648,-0.0012858233007776582,0.028541389338864208,0.01634490900895476,-0.0011059449931010296,0.021805838113515916,-0.011050903975256533,0.002032234329249335,0.021561514053808566,0.02392097526645786,0.06095548290802401,0.013017020588841494,0.0078097953102107265,0.020079266550045216,0.024859546111047615,0.006531399235857778,-0.006322725124204738,0.009602967218417495,-0.014490016910000805,0.014435834565496162,0.004227348723334452,0.013913826819476872,0.03374548238352973,0.03674646485136571,-0.022568890048682323,0.007832230639596668,0.005286737627468616,0.01645007351443019,True,0.003900999590527643,-0.0039856721824625685,-0.0067202911748043435,-0.0062526054040123675,-0.002192244490278345,0.004257454507996965,-0.006402284976392244,-0.006558057872663888,-0.0015430448172419446,0.009222818926811809,-0.0047768542468503445,-0.006735145287959691,0.004515020902570527,-0.006791083779423891,-0.0063514574958711,0.03659464197577145,-0.006757865630818095,-0.0016437273122611729,-0.006501285996334175,-0.00483286024937336,-0.003152079232840621,-0.0067504638841074886,-0.006183121957446617,-0.006242257892447574,-0.006631993717298844,-0.006664017271662119,-0.004362225759920369,0.005788656381711221,-0.006938059342031981,-0.002931937632654067,-0.006732775204353891,-0.00678110675636928,-0.006851288140886097,-0.00900016437426706,-0.0013661302246860251,-0.006082219428549096,-0.006011656930745299,0.006362342952834159,-0.0067139570157557565,-0.0043495824004552396,-0.006420769121919492,-0.0003834657772902733,-0.006724727136938604,-0.006707731692875052,-0.006411403526502823,-0.002248403096850947,-0.0064921142690502675,0.009880589564382779,-0.005047286177525316,-0.00685111859469214,-0.007294758047126026
6,LinearModel_r46_BAG_L1,True,0.0011027731537970997,0.07185674603114764,0.019766248925706546,0.00020726701454856084,0.004257110236592698,0.0458398478374407,0.025363484860956742,0.02351721457790533,0.029544449033987966,0.026734108319347076,0.018605806562412827,0.04185825375090392,0.02318351797407999,0.014220660999949668,-0.00021767525616076411,-0.012936073130698528,0.004231739274444729,0.023815208533881797,-0.021626615143140404,0.0018150747158838,0.020030330410533044,0.0364063136103191,-0.014222763627958466,0.027357010592888892,0.00018075443439945216,0.02841704225280154,0.01604433470886478,-0.0014390866009735617,0.0217319557537549,-0.012580080509214154,0.0018707799278881842,0.020817538572137292,0.02380182647251504,0.060861491819925104,0.014643697348581605,0.0069834705465961,0.019840507078956016,0.024829945066481562,0.00485771604346396,-0.008137149092553336,0.009422399313809986,-0.014499321578179028,0.014285958213242623,0.0039979960351147655,0.014156204947301805,0.03427647906723642,0.03667617502577056,-0.02253111039307025,0.007772709207185432,0.0048706489469438645,0.016915061364433315,True,0.004406646922863959,-0.00398419735643518,-0.006682920340585003,-0.00624636269709118,-0.0017365482535492641,0.004436643254016076,-0.0064086889890297635,-0.006577101801068782,-0.0015689204728618865,0.009193537310108166,-0.004811784188712671,-0.006743092410130629,0.0045194295993754435,-0.006810671597205932,-0.006365579635845824,0.03660328605936626,-0.006776247380757884,-0.001543433991003429,-0.006499510104248145,-0.00484654532741367,-0.003188003325531678,-0.006752375279292527,-0.006187021425130196,-0.006228763693401918,-0.006627279096808671,-0.006687874201575838,-0.004234890270046728,0.005850632885374796,-0.006871946938850507,-0.003177700174299143,-0.0067425671767857,-0.00683095401693569,-0.006849759344281709,-0.009098763030224272,-0.001387046503642379,-0.006074964277308491,-0.005985951219250007,0.005481527061899465,-0.0067379452134769665,-0.004378287044315574,-0.006420471256160649,-0.0003771632251876253,-0.006760103064201166,-0.0067155537749972035,-0.006450478648076457,-0.0022420049563255384,-0.006476161460311709,0.009846408391020502,-0.00521441465262005,-0.006870401461274527,-0.007392581285497076
7,LinearModel_r25_BAG_L1,True,0.0011411437123574112,0.07435727804769302,0.01993140278592182,-3.277065620250347e-05,0.004828064946091925,0.04588682042251008,0.02523677770955434,0.022860255877318165,0.0286616744380696,0.02735079409858269,0.017966467321292385,0.04195383228087762,0.02310514196836865,0.013948659134207207,-0.0004287705306018747,-0.011096838978871225,0.006645665322583531,0.025017243349861683,-0.01970084675122663,0.0010540359935450102,0.018941829315413425,0.0362451773816884,-0.013789411299670404,0.026641608766381244,-0.006008602039664204,0.028688534800719163,0.015493037542263052,-0.0013097193299180109,0.021853065901839643,-0.012561510585957461,0.0017071686628343727,0.021218876930829408,0.023694547404624806,0.060642971779381945,0.02015560983635859,0.006466495091543942,0.019223185345826465,0.025169986717403302,0.005007825802102173,-0.008076962243640538,0.009537874190068987,-0.015545508429379955,0.013802698180033551,0.003945720318778271,0.012775881930912364,0.034533764336251084,0.0368045549632109,-0.02441282257960837,0.00786296379202535,0.0038755613427363033,0.01754810178440728,True,0.007756751576865728,-0.006039881619753773,-0.0025352079941969308,-0.0065389660159549945,-0.011916035597960395,0.00011254951292372084,-0.004088994177218787,-0.005763059874077284,-0.008405438086252826,0.00986621527700382,-0.0014274532180620358,-0.009544101074835484,0.004789168770320984,-0.007327041624280661,-0.004960853009980559,0.038784245813126006,-0.006550127721656987,0.0004916379574044782,-0.004677872033166275,-0.0036154755962973795,-4.754864930317515e-05,-0.005699746607872131,-0.004914840889887695,-0.007915874871317688,-0.006495111044092727,-0.005662380607208459,0.007440901000631772,0.005722747069059508,-0.0016756746440342145,-0.029975194643174108,-0.005070480699823632,-0.005503423548541778,-0.0050954107731326845,-0.006271972828499561,-0.001260965967339489,-0.006645552252503517,-0.017704954813588664,0.009445679598161227,-0.006109056158286941,-0.00644383341056376,-0.0036143517789042345,-0.0016651166278600638,-0.006316293459693423,-0.006102367535640689,-0.00687204636403096,-0.00032787422384750187,-0.006842750990480817,0.008646721516720746,-0.00023142666383191854,-0.006037870121836739,-0.007448995215706193
8,KNeighbors_r116_BAG_L1,True,0.0006782181526911097,0.0815720443507637,0.00947881861606157,0.005565951334292253,-0.00176808244081135,0.05216285698014961,0.030604501227249205,0.023610302591416263,0.034797089104292536,0.026405322919945705,0.02140498027838833,0.05370606909015002,0.011465324194625981,0.011918946630243347,-0.004495377796474421,-0.015825118271136335,0.005143988405211922,-0.02381739105470801,-0.020600043584642458,-0.016800615074697555,0.02570146147519846,0.04134382847825873,-0.004465609142421157,0.02972308287791025,-0.01107100482719095,0.03213420808037775,0.01953840230906366,-0.000338503000297476,0.023276295877019133,-0.010760572258373981,-0.004978855132775762,0.007468945342285996,0.026542257370008863,0.06574139924139848,0.02791944287439166,0.0135807209385264,0.02215247879485393,-0.003195548074395857,-0.0050049286247521585,-0.0035857178082579974,0.0031939611715196305,-0.01095216934448967,0.020722452357607654,-0.0007677517218662305,0.01972766554616446,0.026678784307237816,0.02512428596321961,-0.018317197017401837,0.0077665414987018455,-0.030164023053831694,0.025271704981728427,True,0.00764989020714299,-0.0031035589026763843,-0.0024960796387416863,-0.006556545630577159,-0.012562307154942887,0.0030220282086950156,-0.004050806419025672,-0.0057474249230331535,-0.007651642874326209,0.00998128342029362,-0.0013521936584506202,-0.009603245331551161,0.0043817797255968904,-0.007338896768509224,-0.0049497125112932805,0.03870671870433551,-0.006552100381236003,-0.0004183327500119627,-0.004689417333345793,-0.0036817424225050466,2.7907090008943633e-05,-0.005687716519406905,-0.004915913560675823,-0.007967947253914684,-0.006532472218799519,-0.0056420432048687645,0.007577515009875551,0.00577748200766437,-0.0016202861912648454,-0.030388418989704194,-0.005064343863188111,-0.005463386835425043,-0.005073066575616705,-0.006197088415919212,-0.0012988701962432132,-0.006722096208582863,-0.01795618431023883,0.009614977389837298,-0.00610442807116627,-0.0065087525212489394,-0.0035818039678866312,-0.0017430534637301112,-0.006320902889710132,-0.00610100708750482,-0.006869873326988015,-0.00046155424500723963,-0.006929415395400169,0.008533494406198716,-9.313483856126258e-05,-0.006026304784504126,-0.007441963747925129
9,LightGBM_r78_BAG_L1,True,0.0009330450813895784,0.08469382793651714,0.010003336457678334,0.0069628443204455305,-0.0008961086743202139,0.05076452278169108,0.03142369666052827,0.023869078434325758,0.033566453343471137,0.0295148272956167,0.020496927895745788,0.05634948842552436,0.012422356266286308,0.012875740248180244,-0.004545545816576678,-0.01451198342224401,0.001701079851500767,-0.02098119175855536,-0.020966583169993676,-0.01856893192224006,0.02552387204225376,0.04502972677730121,-0.0038051001778851984,0.028891627292796394,-0.01104154591512839,0.03090949201712552,0.020204854611566014,0.0008021026451987816,0.023648142837954474,-0.0069679118581393515,-0.003092194353941473,0.010794920176413057,0.02704743443612226,0.06575894608040427,0.0324911736461593,0.012704194597799423,0.018939878585595253,-0.013631916710775897,-0.011463444058266374,-0.00038751166099181347,0.0041782197468881385,-0.012249898308522016,0.02495659050631967,-0.0021085926991161186,0.018334883521371588,0.03388656332838113,0.025776817550440465,-0.016635377058692873,0.008675729088818262,-0.031449574055841104,0.021567911308047014,True,0.01214471488403824,-0.002913676980798474,-0.0008021260753269775,-0.006285689367221597,-0.01363997603653398,0.0015167083414576801,-0.0029948432866999633,-0.005279595162692495,-0.007919265024692557,0.011508304381057237,-0.0001366129788335803,-0.010336037484656157,-0.0011955798390162337,-0.007310872092430944,-0.004321313658229101,0.039063553794591525,-0.006263442022470336,-0.003535010021154396,-0.003563922969042501,-0.00352005268119065,0.001441001098099086,-0.005106503337173832,-0.004295786166367752,-0.00822075123605749,-0.006092862472316999,-0.005112884309054718,0.011961045112746448,0.012662631886682013,0.00043723031698310257,-0.0247843129654597,-0.004031246107957831,-0.004839299622215207,-0.004254464393141959,-0.005704080789850741,0.0020955640204875442,-0.006657743017320233,-0.02154437468188942,0.009379419958757913,-0.005203674878047241,-0.004713724292778784,-0.0023569350519271636,0.006851380916040746,-0.00581496145856401,-0.005617650524203931,-0.006839903567396771,-0.0016091967206902612,-0.00700283221567771,0.018449491450309677,0.0019175402207508116,-0.00531768324107164,-0.007007944734673407
10,KNeighbors_r169_BAG_L1,True,0.007864645253289776,0.07542154968285278,-0.01113169271641717,0.007762448181774774,-0.01640075911437728,0.0528980689737402,0.032640356488827474,0.02697296510089729,0.03464042351825104,0.04313605184746397,0.020595585392127944,0.06189978989501235,0.010406607094141748,0.016507177255371184,-0.006455379833852931,-0.019893821241556583,-0.004497123608824916,5.487330569479976e-05,-0.024816756278101933,-0.04945151770458348,0.027083052446899507,0.039658989654818934,0.04422366338997826,0.033154609661742135,-0.012008247067088428,0.03216960898755158,0.021390265604241523,-0.00012769504329761434,0.023455235015532178,-0.01695944393524316,-0.01043509002931277,-0.016849760020913564,0.03288996111425131,0.05377369995924337,0.037715393091716655,0.01792579596762751,0.018521821312887866,-0.009100972366232633,0.003690106132482225,-0.01674098724165264,0.022719097218247046,-0.020265109802054596,0.038890332989067654,-0.009034779756703745,0.030401087971494916,0.022203015017798387,0.04618076598976208,-0.01723611132514933,0.02299015236526385,-0.01725640192707005,0.019004077396912615,True,0.012275116822965948,-0.0028256748021018574,-0.0008182610497138616,-0.006522395116106798,-0.01367775592521077,0.0018171988777447856,-0.0031163494906087347,-0.005394700987329702,-0.008104066546417675,0.003658355093632224,-0.00023105927867662782,-0.010556010650530346,-0.0013760955653510654,-0.007471709319314391,-0.004448508807177606,0.03995762248873888,-0.0063918436524252435,-0.0033388098051547466,-0.003605581786182122,-0.0035788236017985572,0.0012528787274966098,-0.0052124228362989185,-0.004413203455944766,-0.008430858834343274,-0.006196178835194047,-0.00522275913608189,0.0120688560478328,0.012591451146499108,0.00044339762329864484,-0.024637168898966288,-0.004099354319311866,-0.004944298443038795,-0.004401411284057188,-0.005893387997722574,0.0020848150499737255,-0.006830225720347865,-0.022031402917216628,0.009790744805406225,-0.005279742920769278,-0.004797159495496797,-0.0024591092211051864,0.006855123223209058,-0.0059513268899514925,-0.005731189664031801,-0.006992523959546943,-0.0017008284421049027,-0.007152139803908753,0.019441984888944237,0.00196272097381583,-0.00541814136815921,-0.007159277797488241
